is_number,title,year,status,category,keywords,related_service,source_url
IS 12594: 1988,Hot-dip Zinc Coating on Structural Steel Bars for Concrete Reinforcement – Specification,1988,Mandatory (QCO),Compulsory Certification,"Zinc, Coating, Structural, Steel, Bars, Concrete",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 14650:1999,"Carbon Steel Cast Billet Ingots, Billets, Blooms and Slabs for Rerolling purposes- Specification",1999,Mandatory (QCO),Compulsory Certification,"Carbon, Steel, Cast, Billet, Ingots, Billets",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 4882: 1979,Specification for Low Carbon Steel Wire for Rivets for use in Bearing Industry,1979,Mandatory (QCO),Compulsory Certification,"Specification, Carbon, Steel, Wire, Rivets, Bearing",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2090:1983,Specification for High Tensile Steel Bars used in Pre-stressed Concrete,2090,Mandatory (QCO),Compulsory Certification,"Specification, High, Tensile, Steel, Bars, used",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 6529:1996,Stainless Steel Blooms Billets And Slabs For Forging,1996,Mandatory (QCO),Compulsory Certification,"Stainless, Steel, Blooms, Billets, Slabs, Forging",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 9294:1979,Cold-Rolled Stainless Steel Strips for Razor Blades,1979,Mandatory (QCO),Compulsory Certification,"Cold, Rolled, Stainless, Steel, Strips, Razor",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 10631:1983,Stainless Steel for welding electrode core wire,1983,Mandatory (QCO),Compulsory Certification,"Stainless, Steel, welding, electrode, core, wire",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 10632 (Part 2):1983,Specification for Non Magnetic stainless steel for electrical applications Part 2 Specific requirements for binding wire.,1983,Mandatory (QCO),Compulsory Certification,"Specification, Magnetic, stainless, steel, electrical, applications",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 10632 (Part 3):1983,"Specification for Non Magnetic stainless steel for electrical applications Part 3 Specific requirements for sheets, strips and plates.",1983,Mandatory (QCO),Compulsory Certification,"Specification, Magnetic, stainless, steel, electrical, applications",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 11169 (Part 2): 1989,Steels for cold heading/cold extrusion applications – specification Part 2 Stainless steel,1989,Mandatory (QCO),Compulsory Certification,"Steels, cold, heading, extrusion, applications, specification",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 5651:1987,Steels for Pneumatic Tools,1987,Mandatory (QCO),Compulsory Certification,"Steels, Pneumatic, Tools",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 9516:1980,Heat Resisting Steels,1980,Mandatory (QCO),Compulsory Certification,"Heat, Resisting, Steels",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 11952:1986,Steels For Piston Pins (Gudgeon Pins),1986,Mandatory (QCO),Compulsory Certification,"Steels, Piston, Pins, Gudgeon",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 12045:1987,Alloys Used in Electrical Resistance Metallic Heating Elements,1987,Mandatory (QCO),Compulsory Certification,"Alloys, Used, Electrical, Resistance, Metallic, Heating",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 14652:1999,18 Percent Nickel Maraging Steel Bars and Rods,1999,Mandatory (QCO),Compulsory Certification,"Percent, Nickel, Maraging, Steel, Bars, Rods",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1566:1982,Specification for Hard-drawn Steel Wire Fabric For Concrete Reinforcement,1982,Mandatory (QCO),Compulsory Certification,"Specification, Hard, drawn, Steel, Wire, Fabric",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1170: 1992,Ferrochromium – Specification,1992,Mandatory (QCO),Compulsory Certification,"Ferrochromium, Specification",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 11946:1987,Soft Magnetic Iron Strips,1987,Mandatory (QCO),Compulsory Certification,"Soft, Magnetic, Iron, Strips",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 11947:1987,"Soft Magnetic Iron Rods, Bars Flats and Sections",1987,Mandatory (QCO),Compulsory Certification,"Soft, Magnetic, Iron, Rods, Bars, Flats",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 963: 1958,Chrome molybdenum steel bars and rods for aircraft purposes,1958,Mandatory (QCO),Compulsory Certification,"Chrome, molybdenum, steel, bars, rods, aircraft",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 4454 (Part 4): 2001,Steel Wires for Mechanical Springs- Part 4: Stainless Steel Wire,2001,Mandatory (QCO),Compulsory Certification,"Steel, Wires, Mechanical, Springs, Part, Stainless",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1993 : 2018,Cold-reduced Electrolytic Tin Plate,1993,Mandatory (QCO),Compulsory Certification,"Cold, reduced, Electrolytic, Plate",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 12591:2018,Cold-reduced Electrolytic Chromium/Chromium oxide – coated steel,2018,Mandatory (QCO),Compulsory Certification,"Cold, reduced, Electrolytic, Chromium, oxide, coated",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 412:1975,Expanded Metal Steel Sheets For General Purposes,1975,Mandatory (QCO),Compulsory Certification,"Expanded, Metal, Steel, Sheets, General, Purposes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2100: 1970,"Steel Billets,Bars And Sections For Boilers",1970,Mandatory (QCO),Compulsory Certification,"Steel, Billets, Bars, Sections, Boilers",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2589: 1975,Hard Drawn Steel Wire For Upholstery Springs,1975,Mandatory (QCO),Compulsory Certification,"Hard, Drawn, Steel, Wire, Upholstery, Springs",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3298: 1981,Mild Steel Rivet Bars For Ship Building,1981,Mandatory (QCO),Compulsory Certification,"Mild, Steel, Rivet, Bars, Ship, Building",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 4072: 1975,Steel For Spring Washers,1975,Mandatory (QCO),Compulsory Certification,"Steel, Spring, Washers",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 8510 (Part II): 1977,Steel Wire For Banding Of Armatures And Rotors Part II Specific Requirements for magnetic banding wires,1977,Mandatory (QCO),Compulsory Certification,"Steel, Wire, Banding, Armatures, Rotors, Part",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 8510 (PartIII): 1977,Tinned Steel Wire For Banding Of Armatures And Rotors Part III Specific Requirements for non-magnetic banding wires,1977,Mandatory (QCO),Compulsory Certification,"Tinned, Steel, Wire, Banding, Armatures, Rotors",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 8563: 1977,Half Round Mild Steel Wire For The Manufacture of Split Pins,1977,Mandatory (QCO),Compulsory Certification,"Half, Round, Mild, Steel, Wire, Manufacture",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 8564: 1977,Steel Wire For Nipples For Spokes,1977,Mandatory (QCO),Compulsory Certification,"Steel, Wire, Nipples, Spokes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 8565: 1977,Heald Wire,1977,Mandatory (QCO),Compulsory Certification,"Heald, Wire",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 8566: 1977,Steel Wire For Reeds,1977,Mandatory (QCO),Compulsory Certification,"Steel, Wire, Reeds",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 8917: 1978,Plates For Galvanizing Pots,1978,Mandatory (QCO),Compulsory Certification,"Plates, Galvanizing, Pots",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 9442: 1980,Hot Rolled Steel Plates Sheets And Strips For Manufacture of Agricultural Discs,1980,Mandatory (QCO),Compulsory Certification,"Rolled, Steel, Plates, Sheets, Strips, Manufacture",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 9485: 1980,Cold-Reduced And Hot-Rolled Carbon Steel Sheet For Porcelain Enamelling,1980,Mandatory (QCO),Compulsory Certification,"Cold, Reduced, Rolled, Carbon, Steel, Sheet",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 10794: 1984,Mild steel wire for cotter pins,1984,Mandatory (QCO),Compulsory Certification,"Mild, steel, wire, cotter, pins",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 12262:1988,Trapezoidal Steel Wire For Springs Washers,1988,Mandatory (QCO),Compulsory Certification,"Trapezoidal, Steel, Wire, Springs, Washers",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1470: 2013,Silicomanganese – Specification,2013,Mandatory (QCO),Compulsory Certification,"Silicomanganese, Specification",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15911:2010,Structural Steel (Ordinary Quality),2010,Mandatory (QCO),Compulsory Certification,"Structural, Steel, Ordinary, Quality",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1171: 2011,Ferromanganese – Specification,2011,Mandatory (QCO),Compulsory Certification,"Ferromanganese, Specification",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 4431: 1978,Carbon And Carbon- Manganese Free- Cutting Steels,1978,Mandatory (QCO),Compulsory Certification,"Carbon, Manganese, Free, Cutting, Steels",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 4432: 1988,Case Hardening Steels,1988,Mandatory (QCO),Compulsory Certification,"Case, Hardening, Steels",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 5518: 1996,Steels For Die Blocks For Drop Forging,1996,Mandatory (QCO),Compulsory Certification,"Steels, Blocks, Drop, Forging",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 8748: 1978,Forged/Rolled CTC Segments,1978,Mandatory (QCO),Compulsory Certification,"Forged, Rolled, Segments",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 12145: 1987,Quenched And Tempered Alloy Steel Forgings For Pressure Vessels,1987,Mandatory (QCO),Compulsory Certification,"Quenched, Tempered, Alloy, Steel, Forgings, Pressure",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 13387: 1992,Tool Steel Forgings For Metal Forming,1992,Mandatory (QCO),Compulsory Certification,"Tool, Steel, Forgings, Metal, Forming",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
